File_Name,Field_Name,Acquisition_Date,Cloud_Coverage,Sensor_Type,Sensor_Quality,Datataken_ID,Downloaded
"['3DEP1M_bbell.tif', 'bbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_cook.tif', 'cook', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_cook.tif', 'cook', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_dahlen.tif', 'dahlen', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_dahlen.tif', 'dahlen', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_dahlen.tif', 'dahlen', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_dahlen.tif', 'dahlen', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_forbes.tif', 'forbes', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_forbes.tif', 'forbes', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_forbes.tif', 'forbes', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_forbes.tif', 'forbes', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_freddies.tif', 'freddies', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_freddies.tif', 'freddies', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_freddies.tif', 'freddies', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_freddies.tif', 'freddies', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_gerleman.tif', 'gerleman', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_gerleman.tif', 'gerleman', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_gerleman.tif', 'gerleman', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_gerleman.tif', 'gerleman', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_goddard.tif', 'goddard', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_goddard.tif', 'goddard', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_goddard.tif', 'goddard', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_goddard.tif', 'goddard', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_hawkins.tif', 'hawkins', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_hawkins.tif', 'hawkins', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_hawkins.tif', 'hawkins', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_hawkins.tif', 'hawkins', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_jkemp.tif', 'jkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_jkemp.tif', 'jkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_jkemp.tif', 'jkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_jkemp.tif', 'jkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_kbell.tif', 'kbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_kbell.tif', 'kbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_kbell.tif', 'kbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_kbell.tif', 'kbell', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_linnco.tif', 'linnco', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_linnco.tif', 'linnco', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_linnco.tif', 'linnco', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_linnco.tif', 'linnco', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_lkemp.tif', 'lkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_lkemp.tif', 'lkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_lkemp.tif', 'lkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_lkemp.tif', 'lkemp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_paxtron.tif', 'paxtron', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_paxtron.tif', 'paxtron', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_paxtron.tif', 'paxtron', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_paxtron.tif', 'paxtron', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schaapveld2019.tif', 'schaapveld2019', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schaapveld2019.tif', 'schaapveld2019', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schaapveld2019.tif', 'schaapveld2019', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schaapveld2019.tif', 'schaapveld2019', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schaapveld2022.tif', 'schaapveld2022', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schaapveld2022.tif', 'schaapveld2022', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schaapveld2022.tif', 'schaapveld2022', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schaapveld2022.tif', 'schaapveld2022', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schomberg1.tif', 'schomberg1', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schomberg1.tif', 'schomberg1', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schomberg1.tif', 'schomberg1', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schomberg1.tif', 'schomberg1', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schomberg2.tif', 'schomberg2', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schomberg2.tif', 'schomberg2', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schomberg2.tif', 'schomberg2', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schomberg2.tif', 'schomberg2', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schombergp.tif', 'schombergp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_schombergp.tif', 'schombergp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schombergp.tif', 'schombergp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_schombergp.tif', 'schombergp', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_stransky.tif', 'stransky', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_stransky.tif', 'stransky', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_stransky.tif', 'stransky', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_stransky.tif', 'stransky', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_uimelrose.tif', 'uimelrose', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP1M_uimelrose.tif', 'uimelrose', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_uimelrose.tif', 'uimelrose', 'Not Applicable', '3DEP', 'Yes']"
"['3DEP10M_uimelrose.tif', 'uimelrose', 'Not Applicable', '3DEP', 'Yes']"
